#front|back|emoji|category|added|lastSeen|seen|penalty|level
lo malo es (que) | the bad thing is (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
lo único es (que) | the only thing is (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
lo difícil es (que) | the hard thing is (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
lo peor es (que) | the worst thing is (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
lo mejor es (que) | the best thing is (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
lo raro es (que) / lo extraño es (que) | the strange thing is (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
lo chistoso es (que) | the funny thing is (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
lo increíble es (que) | the incredible thing is (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
lo (más) absurdo es (que) | the absurd thing is (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
pues | well / so |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
claro (que sí) / ¿cómo no? | of course (it is) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
está bien | okay / alright |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
conste | just so you know / I'll hold you to that |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
(buen) provecho | enjoy your meal |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
de acuerdo / hecho | agreed / it's a deal |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
¿verdad? | right? / isn't that true? |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
no me importa | I don't care / it doesn't matter to me |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
¿y qué? / ¿y eso qué? | so what? |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
¿y a mí qué? | what's it to me? |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
¿y? | so? |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
o sea | I mean / in other words |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
ni hablar | no way / forget it / oh well |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
cuando sea | whenever |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
como sea | however / anyway |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
donde sea | wherever |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
quien sea | whoever |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
principalmente | mainly |  | adverb | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
especialmente | especially |  | adverb | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
probablemente | probably |  | adverb | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
realmente | really / actually |  | adverb | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
simplemente | simply |  | adverb | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
finalmente | finally |  | adverb | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
actualmente | currently |  | adverb | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
recientemente | recently |  | adverb | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
posible | possible |  | adjective | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
probable | probable / likely |  | adjective | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
difícil | difficult |  | adjective | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
fácil | easy |  | adjective | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
común | common |  | adjective | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
especial | special |  | adjective | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
el éxito | success |  | noun | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
el fracaso | failure |  | noun | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
la decisión | decision |  | noun | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
la elección | choice |  | noun | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
el comportamiento | behavior |  | noun | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
superar | to overcome |  | verb infinitive | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
cumplir | to fulfill / accomplish |  | verb infinitive | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
ocupar | to occupy / take up |  | verb infinitive | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
funcionar | to function / work |  | verb infinitive | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
tratar (de) | to try (to) |  | verb infinitive | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
depender (de) | to depend (on) |  | verb infinitive | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
pertenecer (a) | to belong (to) |  | verb infinitive | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
